"Problem","Severity","Source File","Source Line","Source Column","Source Type","Source Method","Sink File","Sink Line","Sink Column","Rule","Description","URL","Category","Engine"
"1","1","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountController.cls","3","46","AccountController","getAccountByStatus","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountController.cls","6","31","ApexFlsViolationRule","FLS validation is missing for [READ] operation on [Account] with field(s) [Active__c,Industry,Name,Phone].","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/apexflsviolation-rule.html","Security","sfge"
"2","1","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountController.cls","3","46","AccountController","getAccountByStatus","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountController.cls","9","33","ApexFlsViolationRule","FLS validation is missing for [READ] operation on [Account] with field(s) [Active__c,Industry,Name,Phone].","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/apexflsviolation-rule.html","Security","sfge"
"3","1","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountCreater.cls","3","18","AccountCreater","createAccount","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountCreater.cls","12","1","ApexFlsViolationRule","FLS validation is missing for [INSERT] operation on [Account] with field(s) [BillingStreet,Date_of_Birth__c,Email__c,Name,Phone].","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/apexflsviolation-rule.html","Security","sfge"
"4","1","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","3","29","AccountSearchController","searchAccounts","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","9","8","ApexFlsViolationRule","FLS validation is missing for [READ] operation on [Account] with field(s) [Email__c,LastModifiedDate,Name,Phone].","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/apexflsviolation-rule.html","Security","sfge"
"5","2","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","3","29","AccountSearchController","searchAccounts","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","12","18","PerformNullCheckOnSoqlVariables","Null check is missing for variable key used in SOQL query.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/performnullcheckonsoqlvariables-rule.html","Performance","sfge"
"6","2","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","3","29","AccountSearchController","searchAccounts","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","12","40","PerformNullCheckOnSoqlVariables","Null check is missing for variable key used in SOQL query.","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/performnullcheckonsoqlvariables-rule.html","Performance","sfge"
"7","1","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","19","20","AccountSearchController","updateAccount","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\AccountSearchController.cls","20","1","ApexFlsViolationRule","FLS validation is missing for [UPDATE] operation on [Account] with field(s) [Unknown].","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/apexflsviolation-rule.html","Security","sfge"
"8","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\PatientSubmissionPublisher.cls","3","24","PatientSubmissionPublisher","publishEvent","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnexpectedException: com.salesforce.graph.vertex.CastExpressionVertex.<init>(java.util.Map,java.lang.Object): com.salesforce.graph.vertex.SFVertexFactory.load(SFVertexFactory.java:245);com.salesforce.graph.vertex.SFVertexFactory$1.apply(SFVertexFactory.java:186);com.salesforce.graph.vertex.SFVertexFactory$1.apply(SFVertexFactory.java:183);com.salesforce.graph.cache.AbstractVertexCacheImpl.get(AbstractVertexCacheImpl.java:101);com.salesforce.graph.vertex.SFVertexFactory.loadVertices(SFVertexFactory.java:180);com.salesforce.graph.vertex.LazyVertexList.initialize(LazyVertexList.java:47)","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/apexflsviolation-rule.html","InternalExecutionError","sfge"
"9","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\UserRecordController.cls","3","26","UserRecordController","createRecords","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnexpectedException: com.salesforce.graph.vertex.CastExpressionVertex.<init>(java.util.Map,java.lang.Object): com.salesforce.graph.vertex.SFVertexFactory.load(SFVertexFactory.java:245);com.salesforce.graph.vertex.SFVertexFactory$1.apply(SFVertexFactory.java:186);com.salesforce.graph.vertex.SFVertexFactory$1.apply(SFVertexFactory.java:183);com.salesforce.graph.cache.AbstractVertexCacheImpl.get(AbstractVertexCacheImpl.java:101);com.salesforce.graph.vertex.SFVertexFactory.loadVertices(SFVertexFactory.java:180);com.salesforce.graph.vertex.LazyVertexList.initialize(LazyVertexList.java:47)","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/apexflsviolation-rule.html","InternalExecutionError","sfge"
"10","3","C:\Users\VH0000749\OneDrive - CONNECTED VALUE HEALTH SOLUTIONS PRIVATE LIMITED\Documents\TestProject\InfoDetails\force-app\main\default\classes\duplicateUserRecordController.cls","3","26","duplicateUserRecordController","createRecords","","","","InternalExecutionError","Graph Engine identified your source and sink, but you must manually verify that you have a sanitizer in this path. Then, add an engine directive to skip the path. Next, create a Github issue for the Code Analyzer team that includes the error and stack trace. After we fix this issue, check the Code Analyzer release notes for more info. Error and stacktrace: UnexpectedException: com.salesforce.graph.vertex.CastExpressionVertex.<init>(java.util.Map,java.lang.Object): com.salesforce.graph.vertex.SFVertexFactory.load(SFVertexFactory.java:245);com.salesforce.graph.vertex.SFVertexFactory$1.apply(SFVertexFactory.java:186);com.salesforce.graph.vertex.SFVertexFactory$1.apply(SFVertexFactory.java:183);com.salesforce.graph.cache.AbstractVertexCacheImpl.get(AbstractVertexCacheImpl.java:101);com.salesforce.graph.vertex.SFVertexFactory.loadVertices(SFVertexFactory.java:180);com.salesforce.graph.vertex.LazyVertexList.initialize(LazyVertexList.java:47)","https://developer.salesforce.com/docs/platform/salesforce-code-analyzer/guide/apexflsviolation-rule.html","InternalExecutionError","sfge"
